scan_index,sine_center
1,414.6166
2,412.5629
3,410.4611
4,408.3120
5,406.1161
6,403.8743
7,401.5870
8,399.2552
9,396.8794
10,394.4603
11,391.9988
12,389.4956
13,386.9514
14,384.3670
15,381.7433
16,379.0809
17,376.3808
18,373.6436
19,370.8704
20,368.0619
21,365.2190
22,362.3425
23,359.4333
24,356.4924
25,353.5206
26,350.5188
27,347.4879
28,344.4289
29,341.3426
30,338.2302
31,335.0923
32,331.9302
33,328.7446
34,325.5367
35,322.3072
36,319.0574
37,315.7880
38,312.5002
39,309.1950
40,305.8733
41,302.5361
42,299.1845
43,295.8196
44,292.4422
45,289.0535
46,285.6545
47,282.2463
48,278.8298
49,275.4061
50,271.9763
51,268.5414
52,265.1024
53,261.6605
54,258.2166
55,254.7718
56,251.3272
57,247.8837
58,244.4426
59,241.0047
60,237.5712
61,234.1431
62,230.7215
63,227.3073
64,223.9017
65,220.5057
66,217.1203
67,213.7465
68,210.3854
69,207.0381
70,203.7054
71,200.3885
72,197.0883
73,193.8059
74,190.5423
75,187.2984
76,184.0753
77,180.8739
78,177.6952
79,174.5402
80,171.4099
81,168.3051
82,165.2269
83,162.1762
84,159.1539
85,156.1609
86,153.1982
87,150.2666
88,147.3671
89,144.5005
90,141.6678
91,138.8697
92,136.1072
93,133.3810
94,130.6920
95,128.0411
96,125.4290
97,122.8565
98,120.3244
99,117.8335
100,115.3846
101,112.9784
102,110.6156
103,108.2970
104,106.0232
105,103.7950
106,101.6130
107,99.4779
108,97.3904
109,95.3511
110,93.3606
111,91.4194
112,89.5284
113,87.6879
114,85.8985
115,84.1608
116,82.4754
117,80.8427
118,79.2633
119,77.7376
120,76.2660
121,74.8491
122,73.4873
123,72.1810
124,70.9305
125,69.7363
126,68.5988
127,67.5182
128,66.4949
129,65.5293
130,64.6215
131,63.7720
132,62.9809
133,62.2485
134,61.5750
135,60.9606
136,60.4055
137,59.9099
138,59.4740
139,59.0978
140,58.7815
141,58.5251
142,58.3288
143,58.1927
144,58.1166
145,58.1008
146,58.1451
147,58.2496
148,58.4142
149,58.6390
150,58.9237
151,59.2684
152,59.6729
153,60.1371
154,60.6608
155,61.2440
156,61.8863
157,62.5877
158,63.3480
159,64.1667
160,65.0439
161,65.9791
162,66.9720
163,68.0225
164,69.1300
165,70.2945
166,71.5153
167,72.7923
168,74.1249
169,75.5129
170,76.9557
171,78.4529
172,80.0041
173,81.6088
174,83.2665
175,84.9767
176,86.7389
177,88.5525
178,90.4171
179,92.3319
180,94.2965
