区域,面积_mm2,质心x_mm,质心y_mm,包围盒x_min_mm,包围盒x_max_mm,包围盒y_min_mm,包围盒y_max_mm,等效椭圆长半轴_mm,等效椭圆短半轴_mm,长宽比,长轴倾角_度,平均吸收率,吸收率标准差,吸收率中位数
介质整体（外轮廓）,6523.4375,49.7121,49.3797,1.5625,96.4844,5.4688,91.7969,49.7383,43.5963,1.1409,157.2430,1.6737,1.2461,1.5760
固体基体,5214.9963,49.7424,49.0388,1.5625,96.4844,5.4688,91.7969,51.0673,44.6439,1.1439,166.1742,1.9759,1.0328,1.9004
高吸收核1,19.6838,79.7738,19.5328,77.3438,82.8125,16.0156,23.0469,4.1802,1.5801,2.6455,56.7085,5.7158,0.7859,5.6021
高吸收核2,10.8337,23.1156,85.0875,21.0938,25.0000,82.8125,87.8906,2.9186,1.3079,2.2315,59.6467,5.4274,0.5235,5.3507
高吸收核3,5.7983,43.0304,32.8331,41.4062,44.5312,31.6406,33.9844,1.5835,1.1907,1.3300,-163.3005,5.3936,0.5668,5.3118
高吸收核4,6.5613,55.6913,76.9486,54.2969,57.0312,75.3906,78.5156,1.6003,1.3495,1.1859,120.9684,5.3134,0.4716,5.2710
高吸收核5,5.9509,55.0531,71.2290,53.9062,56.2500,69.5312,72.6562,1.6000,1.2108,1.3215,86.1058,5.3011,0.5263,5.2374
高吸收核6,5.1880,33.9844,32.9619,32.8125,35.1562,31.6406,34.3750,1.4161,1.1980,1.1821,72.1390,5.2149,0.4731,5.2308
孔隙1（按面积降序）,206.2988,61.5737,59.7916,52.3438,70.7031,50.3906,69.9219,11.7971,5.6929,2.0723,49.8794,0.0992,0.1406,0.0135
孔隙2（按面积降序）,176.8494,58.5161,22.3187,48.4375,66.0156,14.0625,32.4219,8.4565,7.5738,1.1165,165.1714,0.1141,0.1477,0.0498
孔隙3（按面积降序）,121.3074,41.5269,74.4155,32.0312,48.4375,67.5781,80.0781,8.9931,5.0454,1.7824,154.4538,0.1092,0.1479,0.0346
孔隙4（按面积降序）,65.0024,76.8275,43.1191,71.4844,82.4219,37.8906,48.0469,5.7063,4.4650,1.2780,-163.9357,0.1518,0.1805,0.0839
孔隙5（按面积降序）,54.3213,23.6690,76.7073,18.3594,28.5156,72.2656,81.2500,5.5078,3.9917,1.3798,-169.7618,0.1490,0.1697,0.1026
孔隙6（按面积降序）,49.7437,72.5113,82.9838,66.0156,81.6406,78.1250,86.7188,,,,,0.1799,0.1829,0.1465
孔隙7（按面积降序）,48.9807,16.4811,59.0045,10.9375,22.2656,54.2969,64.0625,,,,,0.1843,0.1900,0.1389
孔隙8（按面积降序）,46.9971,66.5280,38.2584,61.3281,72.2656,32.8125,42.1875,,,,,0.1886,0.1873,0.1474
孔隙9（按面积降序）,43.0298,12.7826,72.9541,9.7656,16.0156,67.1875,78.1250,,,,,0.1334,0.1635,0.0695
孔隙10（按面积降序）,43.0298,68.9467,13.5638,62.5000,75.0000,9.7656,19.5312,,,,,0.1448,0.1595,0.0985
孔隙11（按面积降序）,42.5720,34.2805,21.8617,28.5156,39.4531,18.3594,25.3906,,,,,0.1443,0.1682,0.0805
孔隙12（按面积降序）,26.3977,69.1485,73.5357,65.2344,73.4375,71.0938,76.1719,,,,,0.1841,0.1732,0.1546
孔隙13（按面积降序）,25.1770,13.9856,38.0291,10.9375,16.7969,35.1562,40.6250,,,,,0.1126,0.1472,0.0413
孔隙14（按面积降序）,21.2097,84.0476,29.2112,81.2500,87.1094,26.9531,31.6406,,,,,0.1616,0.1765,0.1097
孔隙15（按面积降序）,18.1580,39.9668,52.8575,36.7188,42.1875,48.8281,55.8594,,,,,0.1415,0.1730,0.0579
孔隙16（按面积降序）,15.7166,38.5297,65.8810,36.3281,41.0156,63.2812,68.7500,,,,,0.1445,0.1528,0.1052
孔隙17（按面积降序）,15.1062,46.7744,42.3552,44.1406,49.6094,39.8438,45.3125,,,,,0.1529,0.1710,0.1042
孔隙18（按面积降序）,14.0381,35.5426,82.5238,32.8125,38.6719,80.0781,84.3750,,,,,0.1286,0.1475,0.0801
孔隙19（按面积降序）,13.4277,24.2054,31.2278,20.3125,26.9531,29.2969,33.9844,,,,,0.2240,0.1909,0.1769
孔隙20（按面积降序）,10.5286,32.7814,59.4344,31.2500,33.9844,56.6406,62.1094,,,,,0.1024,0.1472,0.0395
孔隙21（按面积降序）,10.0708,53.3144,33.6944,51.1719,55.0781,32.0312,35.5469,,,,,0.1647,0.1729,0.1173
孔隙22（按面积降序）,9.9182,26.3852,37.7674,24.6094,28.1250,35.9375,40.2344,,,,,0.1138,0.1426,0.0578
孔隙23（按面积降序）,9.3079,23.0117,46.3403,21.4844,24.6094,44.1406,48.4375,,,,,0.2261,0.2021,0.1881
孔隙24（按面积降序）,9.3079,54.3065,40.1607,52.7344,55.8594,38.2812,42.1875,,,,,0.1458,0.1660,0.0805
孔隙25（按面积降序）,8.2397,77.2135,51.7795,75.7812,78.9062,50.0000,53.5156,,,,,0.1574,0.1897,0.0716
孔隙26（按面积降序）,7.4768,19.0410,50.2989,17.5781,20.7031,48.4375,51.9531,,,,,0.1215,0.1291,0.0894
孔隙27（按面积降序）,7.1716,16.9922,44.3359,15.2344,18.7500,42.9688,45.7031,,,,,0.0876,0.1258,0.0000
孔隙28（按面积降序）,7.0190,48.3696,57.1247,47.2656,49.6094,55.0781,58.9844,,,,,0.2100,0.1884,0.1943
孔隙29（按面积降序）,6.8665,27.3047,54.3880,25.7812,28.9062,53.1250,55.8594,,,,,0.1382,0.1395,0.1005
孔隙30（按面积降序）,6.7139,22.6207,64.8615,21.4844,24.2188,63.2812,66.7969,,,,,0.2213,0.2050,0.1970
孔隙31（按面积降序）,6.2561,29.1492,63.9339,27.7344,31.2500,62.5000,66.4062,,,,,0.1910,0.1534,0.1986
孔隙32（按面积降序）,5.9509,33.3684,51.0367,31.6406,35.1562,50.0000,52.3438,,,,,0.1336,0.1347,0.0776
孔隙33（按面积降序）,5.3406,63.2533,72.0480,62.1094,64.4531,70.7031,73.4375,,,,,0.1722,0.1719,0.1469
孔隙34（按面积降序）,5.1880,85.4550,34.8575,83.9844,86.7188,33.5938,36.3281,,,,,0.2157,0.1627,0.1932
