噪声等级_%,重复,偏差_x0_mm,偏差_y0_mm,偏差_d_mm,偏差_theta0_度,偏差_delta_theta_度,偏差_gain
0,0,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
0,1,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
0,2,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
0,3,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
0,4,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
1,0,0.0021,-0.0027,0.0000,-0.0007,-0.0000,0.0001
1,1,-0.0023,-0.0068,-0.0000,-0.0020,0.0000,-0.0009
1,2,0.0011,0.0028,0.0000,-0.0055,0.0000,-0.0003
1,3,0.0041,-0.0020,-0.0000,-0.0098,0.0001,-0.0007
1,4,-0.0010,-0.0042,-0.0000,-0.0010,0.0001,0.0008
2,0,0.0003,0.0158,-0.0000,-0.0040,-0.0000,-0.0003
2,1,-0.0123,0.0150,-0.0001,0.0614,-0.0006,-0.0014
2,2,0.0055,-0.0059,-0.0000,0.0110,-0.0001,-0.0033
2,3,-0.0037,-0.0051,0.0000,-0.0015,0.0001,0.0025
2,4,-0.0050,-0.0015,0.0000,0.0176,-0.0002,-0.0002
5,0,0.0342,-0.0001,-0.0001,0.0568,-0.0004,-0.0062
5,1,0.0333,-0.0798,0.0001,0.0099,-0.0000,-0.0082
5,2,-0.0094,0.0251,-0.0000,0.0053,-0.0001,-0.0013
5,3,0.0028,-0.0158,0.0003,-0.0060,-0.0002,-0.0045
5,4,-0.0131,-0.0011,0.0001,-0.0522,0.0007,-0.0076
10,0,0.0183,-0.0077,0.0002,-0.1877,0.0017,0.0138
10,1,-0.0566,0.0644,-0.0001,0.0833,-0.0004,0.0173
10,2,0.0636,-0.0125,0.0001,-0.0134,0.0005,0.0001
10,3,-0.1049,0.1833,-0.0003,0.0792,-0.0016,-0.0029
10,4,-0.0547,-0.0101,0.0001,-0.0428,0.0002,-0.0046
