噪声等级_%,重复,x0,y0,d,theta0_度,delta_theta_度,gain,拟合RMSE,偏差_x0_mm,偏差_y0_mm,偏差_d_mm,偏差_theta0_度,偏差_delta_theta_度,偏差_gain,角度平均绝对偏差_度,角度最大偏差_度
0.000000,1,40.839094,56.219250,0.276474,29.861635,0.997404,1.388783,0.085457,0.026594,0.032850,-0.000126,-0.041065,0.000204,-0.000417,0.046125,0.210487
0.000000,2,40.790326,56.199967,0.276708,29.714858,0.998759,1.389511,0.062540,-0.022174,0.013567,0.000108,-0.187842,0.001559,0.000311,0.024882,0.195980
0.000000,3,40.831263,56.197499,0.276501,29.853797,0.997610,1.388888,0.049640,0.018763,0.011099,-0.000099,-0.048903,0.000410,-0.000312,0.026806,0.157403
0.000000,4,40.774831,56.186459,0.276779,29.936288,0.997406,1.389761,0.096005,-0.037669,0.000059,0.000179,0.033588,0.000206,0.000561,0.041674,0.264973
0.000000,5,40.787304,56.195629,0.276721,29.880185,0.997310,1.389570,0.067683,-0.025196,0.009229,0.000121,-0.022515,0.000110,0.000370,0.028075,0.193979
1.000000,1,40.786979,56.189626,0.276719,29.933109,0.996986,1.389485,1.115133,-0.025521,0.003226,0.000119,0.030409,-0.000214,0.000285,0.039621,0.198251
1.000000,2,40.789280,56.159183,0.276690,29.941589,0.997263,1.389354,1.111888,-0.023220,-0.027217,0.000090,0.038889,0.000063,0.000154,0.048948,0.218543
1.000000,3,40.795648,56.192610,0.276677,30.134535,0.996075,1.389452,1.111990,-0.016852,0.006210,0.000077,0.231835,-0.001125,0.000252,0.030361,0.134152
1.000000,4,40.793233,56.217981,0.276704,29.830912,0.998022,1.389514,1.112308,-0.019267,0.031581,0.000104,-0.071788,0.000822,0.000314,0.042962,0.173931
1.000000,5,40.830344,56.156213,0.276482,29.917436,0.997265,1.388839,1.109039,0.017844,-0.030187,-0.000118,0.014736,0.000065,-0.000361,0.039987,0.175341
2.000000,1,40.809992,56.188163,0.276602,29.885662,0.996986,1.389718,2.213071,-0.002508,0.001763,0.000002,-0.017038,-0.000214,0.000518,0.056645,0.233067
2.000000,2,40.788375,56.208354,0.276723,29.926651,0.997061,1.389590,2.230168,-0.024125,0.021954,0.000123,0.023951,-0.000139,0.000390,0.066610,0.217406
2.000000,3,40.836435,56.200289,0.276476,29.818959,0.997681,1.388158,2.219345,0.023935,0.013889,-0.000124,-0.083741,0.000481,-0.001042,0.068276,0.259675
2.000000,4,40.816729,56.167543,0.276557,29.942398,0.996931,1.389015,2.217632,0.004229,-0.018857,-0.000043,0.039698,-0.000269,-0.000185,0.056367,0.199206
2.000000,5,40.824727,56.186236,0.276527,29.908889,0.996603,1.389094,2.213733,0.012227,-0.000164,-0.000073,0.006189,-0.000597,-0.000106,0.052487,0.236776
5.000000,1,40.790582,56.156169,0.276682,30.025982,0.996049,1.388428,5.556384,-0.021918,-0.030231,0.000082,0.123282,-0.001151,-0.000772,0.129508,0.297958
5.000000,2,40.831820,56.164256,0.276479,29.955896,0.996832,1.389272,5.551008,0.019320,-0.022144,-0.000121,0.053196,-0.000368,0.000072,0.120591,0.249887
5.000000,3,40.800741,56.199901,0.276656,29.809606,0.998041,1.389414,5.533894,-0.011759,0.013501,0.000056,-0.093094,0.000841,0.000214,0.109984,0.267026
5.000000,4,40.842815,56.170630,0.276427,29.866862,0.997821,1.388209,5.544072,0.030315,-0.015770,-0.000173,-0.035838,0.000621,-0.000991,0.113835,0.260962
5.000000,5,40.797265,56.189739,0.276667,29.963582,0.996373,1.388747,5.560519,-0.015235,0.003339,0.000067,0.060882,-0.000827,-0.000453,0.119909,0.263114
10.000000,1,40.811879,56.182651,0.276590,29.939333,0.996903,1.389158,11.095624,-0.000621,-0.003749,-0.000010,0.036633,-0.000297,-0.000042,0.151112,0.236336
10.000000,2,40.839842,56.183413,0.276449,29.888106,0.997766,1.388896,11.111419,0.027342,-0.002987,-0.000151,-0.014594,0.000566,-0.000304,0.151679,0.280978
10.000000,3,40.806379,56.240453,0.276651,29.815624,0.997771,1.389325,11.138956,-0.006121,0.054053,0.000051,-0.087076,0.000571,0.000125,0.143631,0.283652
10.000000,4,40.814223,56.182673,0.276578,29.828091,0.997066,1.392991,11.059263,0.001723,-0.003727,-0.000022,-0.074609,-0.000134,0.003791,0.149581,0.298522
10.000000,5,40.808003,56.151848,0.276592,30.012769,0.996230,1.389207,11.088985,-0.004497,-0.034552,-0.000008,0.110069,-0.000970,0.000007,0.157940,0.309098
