scan_index,base_angle_degree,correction_degree,angle_degree,single_scan_mse
1,29.9027,-0.2000,29.7027,18.6217
2,30.8999,-0.0600,30.8399,23.6705
3,31.8971,-0.2000,31.6971,25.8971
4,32.8942,-0.2000,32.6942,29.9539
5,33.8914,-0.2000,33.6914,33.6187
6,34.8886,-0.1800,34.7086,36.9501
7,35.8857,-0.1750,35.7107,40.1459
8,36.8829,-0.0850,36.7979,43.1114
9,37.8801,0.0850,37.9651,45.6731
10,38.8772,0.0600,38.9372,47.6884
11,39.8744,0.2000,40.0744,49.3510
12,40.8716,0.2000,41.0716,50.6424
13,41.8687,0.2000,42.0687,51.4578
14,42.8659,0.2000,43.0659,51.9825
15,43.8631,0.2000,44.0631,51.8928
16,44.8602,0.2000,45.0602,51.6053
17,45.8574,0.2000,46.0574,50.3871
18,46.8546,0.2000,47.0546,48.9887
19,47.8517,0.2000,48.0517,47.1190
20,48.8489,0.2000,49.0489,44.9254
21,49.8461,0.2000,50.0461,42.4368
22,50.8432,0.2000,51.0432,39.6461
23,51.8404,0.2000,52.0404,36.7576
24,52.8376,0.2000,53.0376,33.7578
25,53.8347,0.2000,54.0347,30.6130
26,54.8319,0.2000,55.0319,27.4081
27,55.8291,0.2000,56.0291,24.1544
28,56.8262,0.2000,57.0262,20.9361
29,57.8234,0.2000,58.0234,17.8025
30,58.8206,0.2000,59.0206,14.8370
31,59.8177,0.2000,60.0177,12.0398
32,60.8149,0.2000,61.0149,9.4563
33,61.8121,0.2000,62.0121,7.0828
34,62.8092,0.2000,63.0092,5.1314
35,63.8064,0.2000,64.0064,3.3762
36,64.8036,0.2000,65.0036,2.0237
37,65.8007,0.1500,65.9507,1.1426
38,66.7979,0.0100,66.8079,0.5404
39,67.7951,-0.2000,67.5951,0.3212
40,68.7922,-0.2000,68.5922,0.4899
41,69.7894,-0.2000,69.5894,1.1110
42,70.7866,-0.2000,70.5866,2.1940
43,71.7837,-0.2000,71.5837,3.6996
44,72.7809,-0.2000,72.5809,5.6524
45,73.7781,-0.2000,73.5781,7.9875
46,74.7752,-0.2000,74.5752,10.6548
47,75.7724,-0.2000,75.5724,13.7414
48,76.7696,-0.2000,76.5696,16.9904
49,77.7667,-0.2000,77.5667,20.5241
50,78.7639,-0.2000,78.5639,24.1783
51,79.7611,-0.2000,79.5611,27.8501
52,80.7583,-0.2000,80.5583,31.6702
53,81.7554,-0.2000,81.5554,35.2381
54,82.7526,-0.2000,82.5526,38.8981
55,83.7498,-0.2000,83.5498,42.0562
56,84.7469,-0.2000,84.5469,45.0872
57,85.7441,-0.2000,85.5441,47.6454
58,86.7413,-0.2000,86.5413,49.7821
59,87.7384,-0.2000,87.5384,51.4978
