rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
1,40.5298,56.2886,0.2781,29.7776,0.9986,1.3921,35.8391,5.9866
2,40.8936,56.2437,0.2762,29.8811,1.0046,1.3857,36.5934,6.0493
3,40.7727,55.4798,0.2764,31.4412,0.9891,1.3897,36.6644,6.0551
4,40.6071,55.8565,0.2774,30.2380,0.9877,1.3924,37.1320,6.0936
5,40.7994,55.7639,0.2764,30.6975,0.9826,1.3909,37.3918,6.1149
6,40.2936,56.2225,0.2792,28.8639,1.0087,1.3918,37.7335,6.1428
7,41.1451,56.5016,0.2751,28.1135,1.0000,1.3832,38.3727,6.1946
8,41.1724,57.1882,0.2754,28.7807,1.0000,1.3839,38.5971,6.2127
9,40.2307,56.5758,0.2797,31.0252,0.9942,1.3961,38.6399,6.2161
10,41.2523,56.6876,0.2747,29.5560,0.9878,1.3848,38.6719,6.2187
11,40.8306,56.2945,0.2766,29.7754,1.0114,1.3841,38.8165,6.2303
12,41.0875,55.9557,0.2751,29.5365,1.0120,1.3801,39.0891,6.2521
13,41.0802,56.3270,0.2753,29.7678,1.0096,1.3813,39.1108,6.2539
14,40.8972,55.4653,0.2758,31.5596,0.9982,1.3849,39.3547,6.2733
15,41.2155,56.5458,0.2748,29.5244,0.9847,1.3854,39.4605,6.2818
16,40.1281,56.4094,0.2802,30.1610,0.9896,1.3977,39.6368,6.2958
17,40.1498,56.8751,0.2803,28.6576,1.0055,1.3944,39.8693,6.3142
18,40.8151,54.9608,0.2759,30.7281,1.0032,1.3839,39.9123,6.3176
19,41.5469,56.6291,0.2732,29.2034,0.9915,1.3794,40.2790,6.3466
20,40.2949,55.0198,0.2786,30.6915,0.9928,1.3928,40.2930,6.3477
21,40.9656,55.7343,0.2756,28.9054,0.9903,1.3857,40.4248,6.3580
22,40.4603,56.8158,0.2787,28.4549,1.0216,1.3866,40.5769,6.3700
23,40.5068,57.3787,0.2789,28.3074,0.9987,1.3920,40.6153,6.3730
24,40.6226,57.4218,0.2783,29.2697,0.9895,1.3927,40.7212,6.3813
25,41.2689,55.9988,0.2742,28.2840,1.0214,1.3750,41.1467,6.4146
26,40.5239,57.7160,0.2790,29.1613,1.0013,1.3915,41.2850,6.4253
27,40.2719,56.3113,0.2794,28.9675,1.0213,1.3879,41.2928,6.4259
28,39.9062,55.5736,0.2808,30.8384,0.9999,1.3962,41.5117,6.4430
29,40.1309,56.2745,0.2801,27.9004,1.0254,1.3886,41.6782,6.4559
30,40.8648,57.8555,0.2774,27.9518,0.9999,1.3875,41.9463,6.4766
31,41.3545,57.4774,0.2747,28.0057,1.0118,1.3780,41.9709,6.4785
32,40.0313,55.0946,0.2800,32.8326,0.9817,1.3981,42.0204,6.4823
33,41.5004,57.2047,0.2738,28.3717,0.9934,1.3798,42.0534,6.4849
34,39.8489,56.0442,0.2814,29.4306,1.0013,1.3970,42.0599,6.4854
35,40.8341,55.1381,0.2759,29.3734,1.0185,1.3796,42.0927,6.4879
36,40.3848,55.6429,0.2784,29.8576,1.0182,1.3859,42.1235,6.4903
37,40.1388,56.0948,0.2799,31.4508,0.9723,1.4002,42.1385,6.4914
38,41.5414,55.5488,0.2726,29.6689,1.0075,1.3735,42.3174,6.5052
