round,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse
1,40.9786,56.6103,0.2760,29.8083,0.9932,1.3879,36.2004
1,40.1298,56.4725,0.2802,29.6725,1.0013,1.3955,38.7011
1,39.9519,55.6674,0.2806,29.9689,0.9697,1.3977,52.9284
1,41.1459,56.5726,0.2751,29.7181,1.0166,1.3773,43.7173
1,40.3568,55.8983,0.2787,29.3815,0.9824,1.3939,43.9643
1,40.5812,55.9823,0.2776,29.8268,1.0012,1.3904,35.7951
1,39.9438,56.4031,0.2811,29.4461,0.9818,1.3986,46.9748
1,41.0063,56.2238,0.2756,29.9477,0.9943,1.3870,35.6965
1,41.0551,55.5366,0.2750,29.6230,1.0087,1.3809,38.5576
1,40.9908,55.9160,0.2755,29.6838,1.0274,1.3741,48.2151
1,39.9227,56.0945,0.2810,29.2916,1.0137,1.3936,41.5321
1,40.3775,56.9879,0.2793,29.4473,0.9870,1.3955,40.9505
1,40.2108,56.6211,0.2799,29.8657,1.0108,1.3919,40.2994
1,41.0740,55.5876,0.2749,29.2952,0.9759,1.3847,46.7196
1,40.1040,56.2805,0.2802,30.1209,0.9896,1.3977,39.8947
1,39.9384,55.7595,0.2808,29.5543,1.0186,1.3909,43.6194
1,40.4995,55.6034,0.2778,29.7560,0.9716,1.3922,48.5710
1,40.2212,56.2382,0.2796,29.4429,1.0208,1.3880,42.5952
1,40.0274,56.2592,0.2806,29.7149,0.9937,1.3974,40.6157
1,39.9038,55.8623,0.2810,30.1924,0.9736,1.3994,49.1686
1,40.8513,56.6932,0.2767,29.9578,0.9896,1.3903,36.6727
1,40.3583,55.6760,0.2786,29.5052,1.0241,1.3842,44.1318
1,40.2914,56.1978,0.2792,29.7745,1.0148,1.3893,40.4871
1,40.4235,56.7164,0.2789,29.5332,0.9978,1.3936,37.2117
1,40.3708,56.8789,0.2792,29.7350,1.0195,1.3866,44.5039
1,40.3592,56.8240,0.2793,30.1157,1.0135,1.3888,42.6213
1,40.3402,55.6944,0.2787,29.7082,0.9701,1.3938,50.5540
1,41.1807,56.8501,0.2751,29.4327,0.9768,1.3863,43.4834
1,41.2647,56.6793,0.2746,30.2143,0.9783,1.3861,40.3804
1,41.0887,55.7960,0.2750,29.8558,0.9740,1.3863,44.2111
1,40.3141,56.1648,0.2791,29.2837,1.0272,1.3842,45.3066
1,41.2411,55.8590,0.2742,30.2746,0.9693,1.3852,45.0412
1,39.9753,55.5577,0.2805,30.0838,1.0197,1.3892,45.5109
1,39.9969,55.7617,0.2805,29.5968,1.0026,1.3951,40.5153
1,40.7892,56.5171,0.2769,29.8364,0.9893,1.3909,36.6569
1,41.0893,56.1917,0.2752,30.2492,0.9776,1.3879,39.9476
1,39.9864,56.3840,0.2809,30.0852,0.9990,1.3972,39.8835
1,40.3103,55.8418,0.2789,30.1200,1.0133,1.3888,40.7092
1,39.8568,57.1262,0.2820,29.5713,0.9724,1.4003,53.2798
1,41.1390,55.5011,0.2746,30.2002,0.9864,1.3848,38.6710
1,41.1525,56.6921,0.2752,30.1722,0.9819,1.3873,38.8762
1,40.3119,55.9216,0.2790,29.5991,0.9794,1.3948,44.8087
1,40.3346,56.4874,0.2792,30.2744,1.0086,1.3908,39.8130
1,41.1198,56.5639,0.2753,29.5511,0.9725,1.3869,45.1641
