x0,y0,d,theta0_degree,delta_theta_degree,gain,mse
42.2065,60.3447,0.2728,25.3218,1.0006,1.3623,73.8899
41.3783,47.0017,0.2724,40.7467,1.0099,1.3166,173.1322
41.9360,60.8312,0.2747,25.1736,0.9914,1.3663,79.4976
42.7784,59.3661,0.2691,23.9287,1.0282,1.3468,74.9874
39.2475,46.5566,0.2833,40.2949,0.9636,1.3565,164.4834
41.3180,45.5107,0.2732,42.8459,0.9914,1.3130,193.3795
38.4363,53.3150,0.2873,30.0177,1.0512,1.3802,90.3397
41.6115,57.8498,0.2737,27.3709,1.0829,1.3358,103.4838
42.0721,59.3340,0.2726,25.9303,1.0125,1.3642,61.9245
44.0502,64.4003,0.2685,19.6940,0.9829,1.3136,168.6014
39.2665,51.6099,0.2828,34.4362,0.9989,1.3836,82.4787
42.0809,53.9279,0.2691,31.8415,1.0051,1.3569,62.1613
40.6695,53.7582,0.2762,33.0796,1.0512,1.3516,95.1066
42.9941,69.0773,0.2809,16.2039,0.9961,1.3077,243.6177
42.8275,62.1809,0.2717,20.7429,1.0182,1.3423,106.7329
40.7193,59.0895,0.2791,27.5054,0.9700,1.3874,67.0343
44.3437,66.6118,0.2704,18.5035,1.0224,1.2966,203.3609
40.9637,48.4951,0.2741,38.0422,1.0070,1.3387,133.3000
43.6015,66.8048,0.2742,18.6406,0.9848,1.3123,202.1108
41.9467,69.5618,0.2868,16.3073,1.0038,1.3163,251.9700
42.8502,70.2739,0.2838,15.1935,1.0031,1.3021,267.9987
38.3900,55.3209,0.2884,30.5631,1.0074,1.4019,67.2382
39.8529,63.9720,0.2885,21.7676,1.0227,1.3712,131.4709
40.9185,54.2803,0.2751,32.9779,1.0368,1.3580,79.7216
40.3228,59.1345,0.2811,26.8532,1.0169,1.3880,53.6726
40.3704,52.5890,0.2774,32.2810,0.9913,1.3816,60.2238
38.1770,52.9592,0.2886,33.8251,1.0521,1.3730,114.5581
41.9982,46.1029,0.2695,39.5301,0.9647,1.3172,177.8401
40.3684,44.9010,0.2783,41.3597,0.9601,1.3323,193.1958
38.7742,50.3683,0.2851,35.4385,1.0826,1.3385,167.5248
40.9850,63.9361,0.2829,21.0536,0.9753,1.3563,153.8231
40.9644,63.9063,0.2830,21.0585,0.9865,1.3591,143.9729
41.1618,67.0339,0.2864,19.7201,1.0118,1.3434,187.3893
39.5196,54.4953,0.2823,31.0793,1.0122,1.3923,52.6223
41.1742,69.0766,0.2896,17.5259,1.0251,1.3292,230.5647
39.4124,57.6098,0.2845,28.1430,0.9969,1.4001,55.4483
40.5348,45.4150,0.2772,39.9971,1.0364,1.3078,209.9692
41.4249,68.1849,0.2869,17.4784,1.0332,1.3324,207.0537
40.7567,53.1222,0.2755,33.4768,0.9902,1.3801,53.6456
38.4523,53.0732,0.2872,32.4009,0.9757,1.3997,82.8630
41.6993,50.1072,0.2703,35.6010,1.0148,1.3363,113.0450
45.6310,70.1583,0.2704,13.8629,1.0193,1.2596,289.3426
44.2432,65.7115,0.2695,19.6640,0.9844,1.3067,189.2124
44.4925,65.9646,0.2686,18.1624,1.0139,1.2984,193.1144
38.7257,48.0754,0.2856,39.6189,1.0498,1.3353,188.4692
42.1467,65.7349,0.2797,19.4090,0.9752,1.3345,184.4761
41.2014,59.7045,0.2772,25.6780,0.9898,1.3789,66.0582
41.3135,47.7911,0.2725,39.2626,1.0360,1.3119,174.9718
43.8067,66.8141,0.2733,19.2620,0.9769,1.3089,206.9350
40.1498,56.8751,0.2803,28.6576,1.0055,1.3944,39.8693
41.5671,54.9296,0.2721,32.9076,0.9388,1.3818,57.5393
42.7463,58.2498,0.2683,29.1561,1.0047,1.3515,70.3958
41.7100,65.4054,0.2813,20.3173,1.0407,1.3425,150.3044
41.0285,62.6356,0.2811,24.0283,0.9823,1.3699,111.7560
42.0335,45.5169,0.2696,40.0390,0.9823,1.3069,192.1493
39.1885,51.4534,0.2831,34.1499,1.0281,1.3715,98.0473
40.2850,49.6679,0.2775,37.6439,0.9893,1.3635,103.7728
39.8354,44.4698,0.2812,41.4787,0.9973,1.3231,210.7686
41.2281,57.4351,0.2753,27.1732,0.9308,1.3719,96.7579
39.0013,54.6004,0.2849,32.8602,0.9421,1.4065,72.8274
42.0495,57.5786,0.2713,26.5994,0.9838,1.3687,57.9465
40.4683,59.9738,0.2811,24.2488,0.9711,1.3786,96.7909
43.6392,71.1336,0.2817,13.7479,0.9649,1.2752,322.7205
38.4080,49.4284,0.2870,37.3711,0.9953,1.3745,128.3299
41.0449,54.6201,0.2746,32.4999,1.0262,1.3645,66.1739
38.3415,51.0481,0.2874,36.0026,1.0262,1.3730,119.2289
40.8016,63.6551,0.2834,22.1685,1.0357,1.3632,116.2429
41.6747,54.2986,0.2713,30.3883,1.0137,1.3643,53.2366
40.9410,54.7460,0.2752,30.7300,1.0325,1.3678,58.6071
45.3247,69.4474,0.2705,14.3469,1.0543,1.2577,282.0929
38.9673,54.2380,0.2850,31.0855,1.0557,1.3752,87.1016
39.1897,48.0891,0.2832,38.8557,1.0106,1.3531,148.8966
40.0310,49.9492,0.2788,35.9451,0.9971,1.3667,99.6527
